,notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19,locality,name,state,long,lat,Cases
2719,2020-04-01,2166.0,Local (Known Contact),X710,South Western Sydney,12850.0,Fairfield (C),LANSVALE,"CABRAMATTA, CABRAMATTA WEST, CANLEY HEIGHTS, CANLEY VALE, LANSVALE",NSW,150.92937,-33.892738,1
2716,2020-04-01,2422.0,Local (Unknown Contact),X800,Hunter New England,15240.0,Mid-Coast (A),WOKO,"BACK CREEK, BAKERS CREEK, BARRINGTON, BARRINGTON TOPS, BAXTERS RIDGE, BELBORA, BERRICO, BINDERA, BOWMAN, BOWMAN FARM, BRETTI, BULLIAC, BUNDOOK, CALLAGHANS CREEK, CALLAGHANS CREEKS, COBARK, CONEAC, COPELAND, CORROBOREE FLAT, CRAVEN, CRAVEN PLATEAU, CURRICABARK, DEWITT, DOON AYRE, FAULKLAND, FORBESDALE, GANGAT, GIRO, GLEN WARD, GLOUCESTER, GLOUCESTER TOPS, INVERGORDON, KIA ORA, MARES RUN, MAUDVILLE, MERNOT, MOGRANI, MOGRANI CREEK, MOPPY, MOUNT PEERLESS, PITLOCHRY, RAWDON VALE, ROOKHURST, STRATFORD, TERREEL, TIBBUC, TITAATEE CREEK, TUGRABAKH, UPPER BOWMAN, WALLANBAH, WAPRA, WARDS RIVER, WAUKIVORY, WIRRADGURIE, WOKO",NSW,151.865806,-31.973082,1
509,2020-04-01,2769.0,Overseas,X740,Western Sydney,10750.0,Blacktown (C),THE PONDS,THE PONDS,NSW,150.9054927,-33.705464299999996,4
1436,2020-04-01,2095.0,Local (Known Contact),X760,Northern Sydney,15990.0,Northern Beaches (A),MANLY EAST,"MANLY, MANLY EAST",NSW,151.294675,-33.815482,20
515,2020-04-01,2765.0,Local (Known Contact),X740,Western Sydney,10750.0,Blacktown (C),VINEYARD,"BERKSHIRE PARK, BOX HILL, MARAYLYA, MARSDEN PARK, NELSON, OAKVILLE, RIVERSTONE, VINEYARD",NSW,150.86025800000002,-33.663002,6
1391,2020-04-02,2533.0,Overseas,X730,Illawarra Shoalhaven,14400.0,Kiama (A),SADDLEBACK MOUNTAIN,"BOMBO, CURRAMORE, JAMBEROO, JERRARA, KIAMA, KIAMA DOWNS, KIAMA HEIGHTS, MINNAMURRA, SADDLEBACK MOUNTAIN",NSW,150.75688300000002,-34.645377,7
2420,2020-04-02,2790.0,Overseas,X750,Nepean Blue Mountains,14870.0,Lithgow (C),WOLLANGAMBE,"BEN BULLEN, BLACKMANS FLAT, BOWENFELS, CLARENCE, COBAR PARK, CORNEY TOWN, CULLEN BULLEN, DOCTORS GAP, GANBENANG, GOOD FOREST, HAMPTON, HARTLEY, HARTLEY VALE, HASSANS WALLS, HERMITAGE FLAT, JENOLAN, JENOLAN CAVES, KANIMBLA, LIDSDALE, LITHGOW, LITHGOW DC, LITTLE HARTLEY, LITTLETON, LOWTHER, MARRANGAROO, MCKELLARS PARK, MORTS ESTATE, MOUNT LAMBIE, NEWNES, NEWNES PLATEAU, OAKY PARK, POTTERY ESTATE, RYDAL, SHEEDYS GULLY, SODWALLS, SOUTH BOWENFELS, SOUTH LITTLETON, SPRINGVALE, STATE MINE GULLY, VALE OF CLWYDD, WOLGAN VALLEY, WOLLANGAMBE",NSW,150.4413864,-33.34286524,3
2720,2020-04-02,2380.0,Local (Unknown Contact),X800,Hunter New England,13550.0,Gunnedah (A),RANGARI,"BASIN PLAIN, BLUE VALE, BURBURGATE, COOCOOBOONAH, EMERALD HILL, GHOOLENDAADI, GUNNEDAH, GUNNEMBENE, KELVIN, MARYS MOUNT, MEERMAUL, MILROY, NOGGABRI, ORANGE GROVE, RANGARI",NSW,150.199154,-31.046117,1
1151,2020-04-02,2041.0,Overseas,X700,Sydney,14170.0,Inner West (A),BIRCHGROVE,"BALMAIN, BALMAIN EAST, BIRCHGROVE",NSW,151.180095,-33.858556,9
334,2020-04-02,2076.0,Local (Unknown Contact),X760,Northern Sydney,14500.0,Ku-ring-gai (A),WAHROONGA,"NORMANHURST, NORTH WAHROONGA, WAHROONGA",NSW,151.108249,-33.723263,10
2710,2020-04-02,2829.0,Local (Unknown Contact),X850,Western NSW,12150.0,Coonamble (A),WINGADEE,"BILLEROY, COMBARA, CONIMBIA, COONAMBLE, GILGOOMA, GUNGALMAN, MAGOMETON, NEBEA, PINE GROVE, TERIDGERIE, TOOLOON, URAWILKIE, WINGADEE",NSW,148.28385880000002,-30.52197868,2
2501,2020-04-02,2223.0,Overseas,X720,South Eastern Sydney,12930.0,Georges River (A),OATLEY,"MORTDALE, OATLEY",NSW,151.07183700000002,-33.980264,3
2197,2020-04-02,2227.0,Overseas,X720,South Eastern Sydney,17150.0,Sutherland Shire (A),GYMEA BAY,"GYMEA, GYMEA BAY",NSW,151.085005,-34.04984,6
2723,2020-04-02,2748.0,Local (Unknown Contact),X750,Nepean Blue Mountains,16350.0,Penrith (C),ORCHARD HILLS,ORCHARD HILLS,NSW,150.72319,-33.811042,1
2581,2020-04-02,2780.0,Local (Known Contact),X750,Nepean Blue Mountains,10900.0,Blue Mountains (C),YOSEMITE,"KATOOMBA, KATOOMBA DC, LEURA, MEDLOW BATH, YOSEMITE",NSW,150.43563899999998,-33.832923,6
2698,2020-04-02,2880.0,Local (Unknown Contact),X860,Far West,11250.0,Broken Hill (C),TIBOOBURRA,"BROKEN HILL, BROKEN HILL NORTH, BROKEN HILL WEST, BROUGHAMS GATE, BURNS, CAMERON CORNER, EURIOWIE, FOWLERS GAP, KINALUNG, LITTLE TOPAR, MILPARINKA, MOUNT GIPPS, MUTAWINTJI, PACKSADDLE, SILVERTON, SOUTH BROKEN HILL, STEPHENS CREEK, TIBOOBURRA",NSW,142.203381,-30.170440999999997,2
2666,2020-04-02,2192.0,Local (Known Contact),X700,Sydney,11570.0,Canterbury-Bankstown (A),BELMORE,BELMORE,NSW,151.089663,-33.921018,4
1124,2020-04-02,2125.0,Overseas,X740,Western Sydney,17420.0,The Hills Shire (A),WEST PENNANT HILLS,WEST PENNANT HILLS,NSW,151.03180700000001,-33.752645,13
2003,2020-04-02,2060.0,Overseas,X760,Northern Sydney,15950.0,North Sydney (A),WAVERTON,"HMAS PLATYPUS, HMAS WATERHEN, LAVENDER BAY, MCMAHONS POINT, NORTH SYDNEY, NORTH SYDNEY SHOPPINGWORLD, WAVERTON",NSW,151.204557,-33.839863,10
202,2020-04-02,2090.0,Local (Unknown Contact),X760,Northern Sydney,15950.0,North Sydney (A),CREMORNE POINT,"CREMORNE, CREMORNE JUNCTION, CREMORNE POINT",NSW,151.223094,-33.828949,16
1089,2020-04-02,2112.0,Overseas,X760,Northern Sydney,16700.0,Ryde (C),RYDE,"DENISTONE EAST, PUTNEY, RYDE",NSW,151.10844699999998,-33.81658,10
2290,2020-04-02,2324.0,Overseas,X800,Hunter New England,16400.0,Port Stephens (A),WALLAROO,"BALICKERA, BRANDY HILL, BUNDABAH, CARRINGTON, CELLS RIVER, EAGLETON, EAST SEAHAM, HAWKS NEST, HEATHERBRAE, KARUAH, KINGS HILL, LIMEBURNERS CREEK, MILLERS FOREST, MOTTO FARM, NELSONS PLAINS, NORTH ARM COVE, OSTERLEY, PINDIMAR, RAYMOND TERRACE, RAYMOND TERRACE EAST, SEAHAM, SWAN BAY, TAHLEE, TEA GARDENS, TWELVE MILE CREEK, WALLAROO",NSW,152.332617,-32.623108,6
1079,2020-04-02,2151.0,Local (Known Contact),X740,Western Sydney,16260.0,Parramatta (C),NORTH ROCKS,"NORTH PARRAMATTA, NORTH ROCKS",NSW,151.01251100000002,-33.78709,5
2066,2020-04-03,2213.0,Overseas,X710,South Western Sydney,11570.0,Canterbury-Bankstown (A),PICNIC POINT,"EAST HILLS, PANANIA, PICNIC POINT",NSW,150.997836,-33.964102000000004,6
57,2020-04-03,2073.0,Local (Known Contact),X760,Northern Sydney,14500.0,Ku-ring-gai (A),WEST PYMBLE,"PYMBLE, WEST PYMBLE",NSW,151.130278,-33.757296000000004,5
2646,2020-04-03,2039.0,Local (Unknown Contact),X700,Sydney,14170.0,Inner West (A),ROZELLE,ROZELLE,NSW,151.17191499999998,-33.867187,5
1475,2020-04-03,2018.0,Local (Known Contact),X700,Sydney,17200.0,Sydney (C),ROSEBERY,"EASTLAKES, ROSEBERY",NSW,151.202697,-33.9233,11
291,2020-04-03,2144.0,Local (Unknown Contact),X740,Western Sydney,12380.0,Cumberland (A),AUBURN SOUTH,"AUBURN, AUBURN SOUTH",NSW,151.026756,-33.851867999999996,4
2155,2020-04-03,2262.0,Overseas,X770,Central Coast,11650.0,Central Coast (C) (NSW),SAN REMO,"BLUE HAVEN, BUDGEWOI, BUDGEWOI PENINSULA, BUFF POINT, COLONGRA, DOYALSON, DOYALSON NORTH, HALEKULANI, SAN REMO",NSW,151.528042,-33.209125,9
2705,2020-04-03,2714.0,Local (Known Contact),X840,Murrumbidgee,10650.0,Berrigan (A),TUPPAL,"ARATULA, PINE LODGE, TOCUMWAL, TUPPAL",NSW,145.434084,-35.76294,4
2284,2020-04-03,2016.0,Local (Unknown Contact),X700,Sydney,17200.0,Sydney (C),REDFERN,REDFERN,NSW,151.206211,-33.894912,7
636,2020-04-03,2120.0,Local (Unknown Contact),X760,Northern Sydney,14000.0,Hornsby (A),WESTLEIGH,"PENNANT HILLS, THORNLEIGH, WESTLEIGH",NSW,151.07359,-33.731105,13
2167,2020-04-03,2439.0,Overseas,X820,Mid North Coast,16380.0,Port Macquarie-Hastings (A),UPSALLS CREEK,"BATAR CREEK, BLACK CREEK, BOBS CREEK, HERONS CREEK, KENDALL, KEREWONG, KEW, LOGANS CROSSING, LORNE, ROSSGLEN, SWANS CROSSING, UPSALLS CREEK",NSW,152.652155,-31.654721999999996,4
1959,2020-04-03,2106.0,Local (Unknown Contact),X760,Northern Sydney,15990.0,Northern Beaches (A),NEWPORT BEACH,"NEWPORT, NEWPORT BEACH",NSW,151.314599,-33.660707,5
2722,2020-04-03,2334.0,Interstate,X800,Hunter New England,11720.0,Cessnock (C),GRETA,GRETA,NSW,151.385451,-32.728460999999996,2
2724,2020-04-03,2045.0,Overseas,X700,Sydney,14170.0,Inner West (A),HABERFIELD,HABERFIELD,NSW,151.138684,-33.879301,1
1885,2020-04-03,2500.0,Overseas,X730,Illawarra Shoalhaven,18450.0,Wollongong (C),WOLLONGONG WEST,"CONISTON, GWYNNEVILLE, KEIRAVILLE, MANGERTON, MOUNT KEIRA, MOUNT SAINT THOMAS, NORTH WOLLONGONG, SPRING HILL, WEST WOLLONGONG, WOLLONGONG, WOLLONGONG DC, WOLLONGONG NORTH, WOLLONGONG WEST",NSW,150.874294,-34.423171,15
176,2020-04-03,2122.0,Local (Known Contact),X760,Northern Sydney,16700.0,Ryde (C),MARSFIELD,"EASTWOOD, MARSFIELD",NSW,151.092072,-33.791357,24
1803,2020-04-03,2084.0,Overseas,X760,Northern Sydney,15990.0,Northern Beaches (A),TERREY HILLS,"AKUNA BAY, COTTAGE POINT, DUFFYS FOREST, TERREY HILLS",NSW,151.216929,-33.650999,3
539,2020-04-03,2204.0,Local (Unknown Contact),X700,Sydney,14170.0,Inner West (A),MARRICKVILLE SOUTH,"MARRICKVILLE, MARRICKVILLE METRO, MARRICKVILLE SOUTH",NSW,151.15553899999998,-33.912288000000004,9
427,2020-04-03,2117.0,Overseas,X740,Western Sydney,16260.0,Parramatta (C),TELOPEA,"DUNDAS, DUNDAS VALLEY, OATLANDS, TELOPEA",NSW,151.04218,-33.797127,6
1343,2020-04-03,2233.0,Local (Known Contact),X720,South Eastern Sydney,17150.0,Sutherland Shire (A),YARRAWARRAH,"ENGADINE, HEATHCOTE, WATERFALL, WORONORA HEIGHTS, YARRAWARRAH",NSW,151.027919,-34.114626,13
1923,2020-04-03,2131.0,Local (Known Contact),X700,Sydney,14170.0,Inner West (A),ASHFIELD,ASHFIELD,NSW,151.124008,-33.887602,11
2548,2020-04-03,2044.0,Local (Known Contact),X700,Sydney,14170.0,Inner West (A),TEMPE,"ST PETERS, ST PETERS DC, SYDENHAM, TEMPE",NSW,151.17074,-33.920698,8
2690,2020-04-04,2049.0,Local (Known Contact),X700,Sydney,14170.0,Inner West (A),PETERSHAM NORTH,"LEWISHAM, PETERSHAM, PETERSHAM NORTH",NSW,151.15085,-33.897219,4
1028,2020-04-04,2025.0,Overseas,X720,South Eastern Sydney,18500.0,Woollahra (A),WOOLLAHRA,WOOLLAHRA,NSW,151.240508,-33.888709999999996,15
1039,2020-04-04,2015.0,Overseas,X700,Sydney,17200.0,Sydney (C),EVELEIGH,"ALEXANDRIA, BEACONSFIELD, EVELEIGH",NSW,151.194825,-33.910105,11
2593,2020-04-04,2221.0,Local (Known Contact),X720,South Eastern Sydney,12930.0,Georges River (A),SOUTH HURSTVILLE,"BLAKEHURST, CARSS PARK, CONNELLS POINT, KYLE BAY, SOUTH HURSTVILLE",NSW,151.10599,-33.992159,3
1826,2020-04-04,2037.0,Local (Unknown Contact),X700,Sydney,17200.0,Sydney (C),GLEBE,"FOREST LODGE, GLEBE",NSW,151.184458,-33.880179,4
2537,2020-04-04,2263.0,Local (Known Contact),X770,Central Coast,11650.0,Central Coast (C) (NSW),TOUKLEY,"CANTON BEACH, CHARMHAVEN, GOROKAN, LAKE HAVEN, NORAH HEAD, NORAVILLE, TOUKLEY",NSW,151.556223,-33.285097,5
2417,2020-04-04,2299.0,Local (Known Contact),X800,Hunter New England,15900.0,Newcastle (C),NORTH LAMBTON,"JESMOND, LAMBTON, NORTH LAMBTON",NSW,151.70458100000002,-32.909816,3
